"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154702","55835","416942"
"EASTERN CAPE","12-17","Male","127084","39404","429096"
"FREE STATE","12-17","Female","93146","44371","161705"
"FREE STATE","12-17","Male","79280","33236","162847"
"GAUTENG","12-17","Female","217565","95683","649047"
"GAUTENG","12-17","Male","178741","73803","648920"
"KWAZULU-NATAL","12-17","Female","173410","73417","647510"
"KWAZULU-NATAL","12-17","Male","121919","47063","658202"
"LIMPOPO","12-17","Female","153042","52480","352420"
"LIMPOPO","12-17","Male","131871","39029","372427"
"MPUMALANGA","12-17","Female","79525","27074","257710"
"MPUMALANGA","12-17","Male","66247","19195","259479"
"NORTHERN CAPE","12-17","Female","19192","6659","69852"
"NORTHERN CAPE","12-17","Male","15317","4916","69047"
"NORTH WEST","12-17","Female","84420","30317","221385"
"NORTH WEST","12-17","Male","70282","22171","223092"
"WESTERN CAPE","12-17","Female","70893","28466","320269"
"WESTERN CAPE","12-17","Male","60702","23898","322848"
