"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913596"
"eastern cape","Pfizer","1329965"
"free state","Johnson & Johnson","485371"
"free state","Pfizer","669642"
"gauteng","Johnson & Johnson","1534324"
"gauteng","Pfizer","3892573"
"kwazulu-natal","Johnson & Johnson","1232969"
"kwazulu-natal","Pfizer","1967261"
"limpopo","Johnson & Johnson","1075612"
"limpopo","Pfizer","1036412"
"mpumalanga","Johnson & Johnson","819241"
"mpumalanga","Pfizer","567505"
"northern cape","Johnson & Johnson","214163"
"northern cape","Pfizer","224332"
"north west","Johnson & Johnson","711297"
"north west","Pfizer","619266"
"western cape","Johnson & Johnson","747500"
"western cape","Pfizer","2113633"
