"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","124538","27135","416942"
"EASTERN CAPE","12-17","Male","100197","18304","429096"
"FREE STATE","12-17","Female","83893","31366","161705"
"FREE STATE","12-17","Male","70660","22725","162847"
"GAUTENG","12-17","Female","197629","70343","649047"
"GAUTENG","12-17","Male","162009","54671","648920"
"KWAZULU-NATAL","12-17","Female","133293","36824","647510"
"KWAZULU-NATAL","12-17","Male","94148","25013","658202"
"LIMPOPO","12-17","Female","120857","32650","352420"
"LIMPOPO","12-17","Male","100917","24562","372427"
"MPUMALANGA","12-17","Female","64231","15635","257710"
"MPUMALANGA","12-17","Male","53709","11525","259479"
"NORTHERN CAPE","12-17","Female","13128","4162","69852"
"NORTHERN CAPE","12-17","Male","10743","3124","69047"
"NORTH WEST","12-17","Female","75631","20164","221385"
"NORTH WEST","12-17","Male","63226","14720","223092"
"WESTERN CAPE","12-17","Female","70296","25764","320269"
"WESTERN CAPE","12-17","Male","59515","21275","322848"
