"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","883715"
"eastern cape","Pfizer","1295360"
"free state","Johnson & Johnson","470735"
"free state","Pfizer","649438"
"gauteng","Johnson & Johnson","1465349"
"gauteng","Pfizer","3794438"
"kwazulu-natal","Johnson & Johnson","1181650"
"kwazulu-natal","Pfizer","1892709"
"limpopo","Johnson & Johnson","1044196"
"limpopo","Pfizer","1007398"
"mpumalanga","Johnson & Johnson","776366"
"mpumalanga","Pfizer","545746"
"northern cape","Johnson & Johnson","207742"
"northern cape","Pfizer","216360"
"north west","Johnson & Johnson","690623"
"north west","Pfizer","600773"
"western cape","Johnson & Johnson","726897"
"western cape","Pfizer","2079510"
