"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922679"
"eastern cape","Pfizer","1362112"
"free state","Johnson & Johnson","489119"
"free state","Pfizer","684694"
"gauteng","Johnson & Johnson","1566402"
"gauteng","Pfizer","3947971"
"kwazulu-natal","Johnson & Johnson","1256309"
"kwazulu-natal","Pfizer","2010031"
"limpopo","Johnson & Johnson","1088894"
"limpopo","Pfizer","1060302"
"mpumalanga","Johnson & Johnson","837970"
"mpumalanga","Pfizer","585387"
"northern cape","Johnson & Johnson","217627"
"northern cape","Pfizer","229699"
"north west","Johnson & Johnson","717846"
"north west","Pfizer","630883"
"western cape","Johnson & Johnson","756865"
"western cape","Pfizer","2135273"
