"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","127940","29706","416942"
"EASTERN CAPE","12-17","Male","102821","20070","429096"
"FREE STATE","12-17","Female","84848","32743","161705"
"FREE STATE","12-17","Male","71501","23788","162847"
"GAUTENG","12-17","Female","199075","72923","649047"
"GAUTENG","12-17","Male","163435","56755","648920"
"KWAZULU-NATAL","12-17","Female","135324","40339","647510"
"KWAZULU-NATAL","12-17","Male","95581","26903","658202"
"LIMPOPO","12-17","Female","122702","34147","352420"
"LIMPOPO","12-17","Male","102436","25668","372427"
"MPUMALANGA","12-17","Female","66467","16698","257710"
"MPUMALANGA","12-17","Male","55912","12301","259479"
"NORTHERN CAPE","12-17","Female","13268","4252","69852"
"NORTHERN CAPE","12-17","Male","10840","3162","69047"
"NORTH WEST","12-17","Female","76834","21516","221385"
"NORTH WEST","12-17","Male","64065","15779","223092"
"WESTERN CAPE","12-17","Female","70308","25986","320269"
"WESTERN CAPE","12-17","Male","59566","21494","322848"
