"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","886310"
"eastern cape","Pfizer","1298268"
"free state","Johnson & Johnson","472199"
"free state","Pfizer","651343"
"gauteng","Johnson & Johnson","1471264"
"gauteng","Pfizer","3803134"
"kwazulu-natal","Johnson & Johnson","1185443"
"kwazulu-natal","Pfizer","1898000"
"limpopo","Johnson & Johnson","1046494"
"limpopo","Pfizer","1009570"
"mpumalanga","Johnson & Johnson","780147"
"mpumalanga","Pfizer","547724"
"northern cape","Johnson & Johnson","208261"
"northern cape","Pfizer","216870"
"north west","Johnson & Johnson","692900"
"north west","Pfizer","602581"
"western cape","Johnson & Johnson","729121"
"western cape","Pfizer","2082962"
