"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154525","55886","416942"
"EASTERN CAPE","12-17","Male","126991","39445","429096"
"FREE STATE","12-17","Female","93062","44391","161705"
"FREE STATE","12-17","Male","79197","33246","162847"
"GAUTENG","12-17","Female","217349","95814","649047"
"GAUTENG","12-17","Male","178549","73885","648920"
"KWAZULU-NATAL","12-17","Female","173306","73632","647510"
"KWAZULU-NATAL","12-17","Male","121817","47164","658202"
"LIMPOPO","12-17","Female","152901","52568","352420"
"LIMPOPO","12-17","Male","131760","39103","372427"
"MPUMALANGA","12-17","Female","79466","27098","257710"
"MPUMALANGA","12-17","Male","66194","19211","259479"
"NORTHERN CAPE","12-17","Female","19209","6711","69852"
"NORTHERN CAPE","12-17","Male","15327","4960","69047"
"NORTH WEST","12-17","Female","84316","30320","221385"
"NORTH WEST","12-17","Male","70213","22182","223092"
"WESTERN CAPE","12-17","Female","70753","28505","320269"
"WESTERN CAPE","12-17","Male","60593","23914","322848"
