"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914154"
"eastern cape","Pfizer","1331545"
"free state","Johnson & Johnson","485684"
"free state","Pfizer","670420"
"gauteng","Johnson & Johnson","1536093"
"gauteng","Pfizer","3895607"
"kwazulu-natal","Johnson & Johnson","1234491"
"kwazulu-natal","Pfizer","1969763"
"limpopo","Johnson & Johnson","1076050"
"limpopo","Pfizer","1037538"
"mpumalanga","Johnson & Johnson","820438"
"mpumalanga","Pfizer","568324"
"northern cape","Johnson & Johnson","214442"
"northern cape","Pfizer","224749"
"north west","Johnson & Johnson","711681"
"north west","Pfizer","619868"
"western cape","Johnson & Johnson","748012"
"western cape","Pfizer","2114784"
