"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","161103","67531","416942"
"EASTERN CAPE","12-17","Male","133775","49900","429096"
"FREE STATE","12-17","Female","91892","45563","161705"
"FREE STATE","12-17","Male","78528","34497","162847"
"GAUTENG","12-17","Female","212268","95728","649047"
"GAUTENG","12-17","Male","174874","74348","648920"
"KWAZULU-NATAL","12-17","Female","172741","81605","647510"
"KWAZULU-NATAL","12-17","Male","121683","52131","658202"
"LIMPOPO","12-17","Female","156290","57204","352420"
"LIMPOPO","12-17","Male","133966","42587","372427"
"MPUMALANGA","12-17","Female","81349","31414","257710"
"MPUMALANGA","12-17","Male","67097","21969","259479"
"NORTHERN CAPE","12-17","Female","20325","8620","69852"
"NORTHERN CAPE","12-17","Male","16247","6373","69047"
"NORTH WEST","12-17","Female","82168","30175","221385"
"NORTH WEST","12-17","Male","68687","22438","223092"
"WESTERN CAPE","12-17","Female","71075","29522","320269"
"WESTERN CAPE","12-17","Male","61148","24823","322848"
