"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920801"
"eastern cape","Pfizer","1353558"
"free state","Johnson & Johnson","488553"
"free state","Pfizer","681369"
"gauteng","Johnson & Johnson","1558201"
"gauteng","Pfizer","3935395"
"kwazulu-natal","Johnson & Johnson","1252155"
"kwazulu-natal","Pfizer","2001202"
"limpopo","Johnson & Johnson","1084440"
"limpopo","Pfizer","1053692"
"mpumalanga","Johnson & Johnson","834603"
"mpumalanga","Pfizer","581264"
"northern cape","Johnson & Johnson","216768"
"northern cape","Pfizer","228553"
"north west","Johnson & Johnson","715986"
"north west","Pfizer","627845"
"western cape","Johnson & Johnson","754719"
"western cape","Pfizer","2130353"
