"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","926803"
"eastern cape","Pfizer","1375973"
"free state","Johnson & Johnson","489866"
"free state","Pfizer","689235"
"gauteng","Johnson & Johnson","1579874"
"gauteng","Pfizer","3966648"
"kwazulu-natal","Johnson & Johnson","1261972"
"kwazulu-natal","Pfizer","2020773"
"limpopo","Johnson & Johnson","1093082"
"limpopo","Pfizer","1069706"
"mpumalanga","Johnson & Johnson","841760"
"mpumalanga","Pfizer","590300"
"northern cape","Johnson & Johnson","218597"
"northern cape","Pfizer","231383"
"north west","Johnson & Johnson","720687"
"north west","Pfizer","636051"
"western cape","Johnson & Johnson","760510"
"western cape","Pfizer","2142441"
