"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154295","56191","416942"
"EASTERN CAPE","12-17","Male","126828","39759","429096"
"FREE STATE","12-17","Female","92822","44462","161705"
"FREE STATE","12-17","Male","79049","33319","162847"
"GAUTENG","12-17","Female","216855","96080","649047"
"GAUTENG","12-17","Male","178227","74186","648920"
"KWAZULU-NATAL","12-17","Female","173423","74367","647510"
"KWAZULU-NATAL","12-17","Male","121914","47553","658202"
"LIMPOPO","12-17","Female","152737","52851","352420"
"LIMPOPO","12-17","Male","131628","39308","372427"
"MPUMALANGA","12-17","Female","79512","27267","257710"
"MPUMALANGA","12-17","Male","66213","19356","259479"
"NORTHERN CAPE","12-17","Female","19295","6856","69852"
"NORTHERN CAPE","12-17","Male","15391","5076","69047"
"NORTH WEST","12-17","Female","84093","30377","221385"
"NORTH WEST","12-17","Male","70074","22271","223092"
"WESTERN CAPE","12-17","Female","70559","28611","320269"
"WESTERN CAPE","12-17","Male","60464","24007","322848"
