"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915562"
"eastern cape","Pfizer","1335117"
"free state","Johnson & Johnson","486355"
"free state","Pfizer","672163"
"gauteng","Johnson & Johnson","1540135"
"gauteng","Pfizer","3902153"
"kwazulu-natal","Johnson & Johnson","1238770"
"kwazulu-natal","Pfizer","1975643"
"limpopo","Johnson & Johnson","1077341"
"limpopo","Pfizer","1039847"
"mpumalanga","Johnson & Johnson","824539"
"mpumalanga","Pfizer","570984"
"northern cape","Johnson & Johnson","215266"
"northern cape","Pfizer","225791"
"north west","Johnson & Johnson","712518"
"north west","Pfizer","621226"
"western cape","Johnson & Johnson","749260"
"western cape","Pfizer","2117416"
