"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924550"
"eastern cape","Pfizer","1368484"
"free state","Johnson & Johnson","489466"
"free state","Pfizer","686864"
"gauteng","Johnson & Johnson","1573042"
"gauteng","Pfizer","3956774"
"kwazulu-natal","Johnson & Johnson","1259377"
"kwazulu-natal","Pfizer","2015611"
"limpopo","Johnson & Johnson","1091361"
"limpopo","Pfizer","1065145"
"mpumalanga","Johnson & Johnson","839993"
"mpumalanga","Pfizer","588020"
"northern cape","Johnson & Johnson","218248"
"northern cape","Pfizer","230576"
"north west","Johnson & Johnson","719427"
"north west","Pfizer","633383"
"western cape","Johnson & Johnson","758719"
"western cape","Pfizer","2138893"
