"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","127911","29733","416942"
"EASTERN CAPE","12-17","Male","102809","20093","429096"
"FREE STATE","12-17","Female","84780","32739","161705"
"FREE STATE","12-17","Male","71454","23786","162847"
"GAUTENG","12-17","Female","199082","73082","649047"
"GAUTENG","12-17","Male","163419","56896","648920"
"KWAZULU-NATAL","12-17","Female","135610","40477","647510"
"KWAZULU-NATAL","12-17","Male","95762","26979","658202"
"LIMPOPO","12-17","Female","122732","34187","352420"
"LIMPOPO","12-17","Male","102434","25701","372427"
"MPUMALANGA","12-17","Female","66486","16727","257710"
"MPUMALANGA","12-17","Male","55938","12316","259479"
"NORTHERN CAPE","12-17","Female","13265","4252","69852"
"NORTHERN CAPE","12-17","Male","10843","3159","69047"
"NORTH WEST","12-17","Female","76844","21596","221385"
"NORTH WEST","12-17","Male","64080","15839","223092"
"WESTERN CAPE","12-17","Female","70233","25984","320269"
"WESTERN CAPE","12-17","Male","59536","21509","322848"
