"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","368480","839479"
"EASTERN CAPE","18-34","Male","273763","854468"
"EASTERN CAPE","35-49","Female","360375","586430"
"EASTERN CAPE","35-49","Male","242415","522727"
"EASTERN CAPE","50-59","Female","232335","320585"
"EASTERN CAPE","50-59","Male","145127","196960"
"EASTERN CAPE","60+","Female","351272","517296"
"EASTERN CAPE","60+","Male","210735","261598"
"EASTERN CAPE","Unidentified","Female","322",""
"EASTERN CAPE","Unidentified","Male","100",""
"FREE STATE","18-34","Female","219634","410210"
"FREE STATE","18-34","Male","166059","419145"
"FREE STATE","35-49","Female","188002","283918"
"FREE STATE","35-49","Male","154037","266941"
"FREE STATE","50-59","Female","102861","140470"
"FREE STATE","50-59","Male","79449","105617"
"FREE STATE","60+","Female","131326","178195"
"FREE STATE","60+","Male","82207","110025"
"FREE STATE","Unidentified","Female","98",""
"FREE STATE","Unidentified","Male","69",""
"GAUTENG","18-34","Female","948316","2584852"
"GAUTENG","18-34","Male","800541","2611302"
"GAUTENG","35-49","Female","964279","1659380"
"GAUTENG","35-49","Male","897220","1782603"
"GAUTENG","50-59","Female","427281","675158"
"GAUTENG","50-59","Male","404974","655342"
"GAUTENG","60+","Female","473037","745260"
"GAUTENG","60+","Male","360065","597429"
"GAUTENG","Unidentified","Female","316",""
"GAUTENG","Unidentified","Male","199",""
"KWAZULU-NATAL","18-34","Female","582526","1707989"
"KWAZULU-NATAL","18-34","Male","402112","1725158"
"KWAZULU-NATAL","35-49","Female","548574","1071255"
"KWAZULU-NATAL","35-49","Male","392448","951364"
"KWAZULU-NATAL","50-59","Female","292851","492136"
"KWAZULU-NATAL","50-59","Male","195464","316845"
"KWAZULU-NATAL","60+","Female","427977","624115"
"KWAZULU-NATAL","60+","Male","242089","330933"
"KWAZULU-NATAL","Unidentified","Female","390",""
"KWAZULU-NATAL","Unidentified","Male","144",""
"LIMPOPO","18-34","Female","408076","818804"
"LIMPOPO","18-34","Male","272258","833104"
"LIMPOPO","35-49","Female","363776","573264"
"LIMPOPO","35-49","Male","238529","493423"
"LIMPOPO","50-59","Female","195103","265501"
"LIMPOPO","50-59","Male","130354","165831"
"LIMPOPO","60+","Female","284389","372555"
"LIMPOPO","60+","Male","163261","173319"
"LIMPOPO","Unidentified","Female","650",""
"LIMPOPO","Unidentified","Male","103",""
"MPUMALANGA","18-34","Female","255075","681710"
"MPUMALANGA","18-34","Male","210905","729028"
"MPUMALANGA","35-49","Female","227296","451254"
"MPUMALANGA","35-49","Male","196202","457785"
"MPUMALANGA","50-59","Female","112863","197794"
"MPUMALANGA","50-59","Male","90942","151183"
"MPUMALANGA","60+","Female","136663","224305"
"MPUMALANGA","60+","Male","98094","146461"
"MPUMALANGA","Unidentified","Female","166",""
"MPUMALANGA","Unidentified","Male","70",""
"NORTHERN CAPE","18-34","Female","73749","174695"
"NORTHERN CAPE","18-34","Male","69993","182300"
"NORTHERN CAPE","35-49","Female","66659","118328"
"NORTHERN CAPE","35-49","Male","70054","131923"
"NORTHERN CAPE","50-59","Female","36033","57823"
"NORTHERN CAPE","50-59","Male","33258","49198"
"NORTHERN CAPE","60+","Female","43322","80820"
"NORTHERN CAPE","60+","Male","32088","52458"
"NORTHERN CAPE","Unidentified","Female","24",""
"NORTHERN CAPE","Unidentified","Male","10",""
"NORTH WEST","18-34","Female","233714","547199"
"NORTH WEST","18-34","Male","191831","611287"
"NORTH WEST","35-49","Female","209185","386831"
"NORTH WEST","35-49","Male","208881","437698"
"NORTH WEST","50-59","Female","106637","173790"
"NORTH WEST","50-59","Male","105294","168889"
"NORTH WEST","60+","Female","137274","213393"
"NORTH WEST","60+","Male","102914","154160"
"NORTH WEST","Unidentified","Female","133",""
"NORTH WEST","Unidentified","Male","119",""
"WESTERN CAPE","18-34","Female","512130","1010156"
"WESTERN CAPE","18-34","Male","440876","1047625"
"WESTERN CAPE","35-49","Female","467012","744325"
"WESTERN CAPE","35-49","Male","408946","767488"
"WESTERN CAPE","50-59","Female","239571","368383"
"WESTERN CAPE","50-59","Male","206584","315766"
"WESTERN CAPE","60+","Female","308613","422288"
"WESTERN CAPE","60+","Male","228621","300872"
"WESTERN CAPE","Unidentified","Female","129",""
"WESTERN CAPE","Unidentified","Male","82",""
