"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","886429"
"eastern cape","Pfizer","1298495"
"free state","Johnson & Johnson","472213"
"free state","Pfizer","651529"
"gauteng","Johnson & Johnson","1471913"
"gauteng","Pfizer","3804315"
"kwazulu-natal","Johnson & Johnson","1185905"
"kwazulu-natal","Pfizer","1898670"
"limpopo","Johnson & Johnson","1046618"
"limpopo","Pfizer","1009881"
"mpumalanga","Johnson & Johnson","780384"
"mpumalanga","Pfizer","547892"
"northern cape","Johnson & Johnson","208273"
"northern cape","Pfizer","216917"
"north west","Johnson & Johnson","693168"
"north west","Pfizer","602814"
"western cape","Johnson & Johnson","729244"
"western cape","Pfizer","2083320"
