"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14569","5518","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12434","4532","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19276","10671","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15279","7573","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8483","3076","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7493","2410","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11164","6451","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9416","4818","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13627","5357","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11198","3919","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17763","6722","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15024","4815","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26335","15771","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23311","12642","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4248","1194","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3473","814","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51337","21773","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42066","16747","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15269","6878","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12218","5205","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19575","10291","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16051","7801","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6712","2888","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4382","1796","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26108","12404","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22683","10557","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13286","7906","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10454","5740","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8823","4448","38682"
