"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923826"
"eastern cape","Pfizer","1366484"
"free state","Johnson & Johnson","489365"
"free state","Pfizer","686238"
"gauteng","Johnson & Johnson","1570918"
"gauteng","Pfizer","3953963"
"kwazulu-natal","Johnson & Johnson","1258507"
"kwazulu-natal","Pfizer","2013971"
"limpopo","Johnson & Johnson","1090735"
"limpopo","Pfizer","1063679"
"mpumalanga","Johnson & Johnson","839413"
"mpumalanga","Pfizer","587323"
"northern cape","Johnson & Johnson","218085"
"northern cape","Pfizer","230244"
"north west","Johnson & Johnson","718879"
"north west","Pfizer","632513"
"western cape","Johnson & Johnson","758169"
"western cape","Pfizer","2137869"
