"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","924168"
"eastern cape","Pfizer","1367653"
"free state","Johnson & Johnson","489419"
"free state","Pfizer","686539"
"gauteng","Johnson & Johnson","1572184"
"gauteng","Pfizer","3955524"
"kwazulu-natal","Johnson & Johnson","1258992"
"kwazulu-natal","Pfizer","2014878"
"limpopo","Johnson & Johnson","1091097"
"limpopo","Pfizer","1064480"
"mpumalanga","Johnson & Johnson","839735"
"mpumalanga","Pfizer","587658"
"northern cape","Johnson & Johnson","218212"
"northern cape","Pfizer","230458"
"north west","Johnson & Johnson","719210"
"north west","Pfizer","632930"
"western cape","Johnson & Johnson","758574"
"western cape","Pfizer","2138502"
