"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","899694"
"eastern cape","Pfizer","1311676"
"free state","Johnson & Johnson","478739"
"free state","Pfizer","659573"
"gauteng","Johnson & Johnson","1500807"
"gauteng","Pfizer","3844732"
"kwazulu-natal","Johnson & Johnson","1207092"
"kwazulu-natal","Pfizer","1927286"
"limpopo","Johnson & Johnson","1060682"
"limpopo","Pfizer","1020854"
"mpumalanga","Johnson & Johnson","796807"
"mpumalanga","Pfizer","555919"
"northern cape","Johnson & Johnson","210753"
"northern cape","Pfizer","219786"
"north west","Johnson & Johnson","702524"
"north west","Pfizer","609875"
"western cape","Johnson & Johnson","737501"
"western cape","Pfizer","2097000"
