"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","920646"
"eastern cape","Pfizer","1352952"
"free state","Johnson & Johnson","488511"
"free state","Pfizer","681125"
"gauteng","Johnson & Johnson","1557524"
"gauteng","Pfizer","3934544"
"kwazulu-natal","Johnson & Johnson","1251754"
"kwazulu-natal","Pfizer","2000551"
"limpopo","Johnson & Johnson","1084244"
"limpopo","Pfizer","1053295"
"mpumalanga","Johnson & Johnson","834347"
"mpumalanga","Pfizer","580958"
"northern cape","Johnson & Johnson","216688"
"northern cape","Pfizer","228434"
"north west","Johnson & Johnson","715855"
"north west","Pfizer","627620"
"western cape","Johnson & Johnson","754542"
"western cape","Pfizer","2130012"
