"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","160837","67267","416942"
"EASTERN CAPE","12-17","Male","133452","49634","429096"
"FREE STATE","12-17","Female","91954","45545","161705"
"FREE STATE","12-17","Male","78578","34472","162847"
"GAUTENG","12-17","Female","212439","95753","649047"
"GAUTENG","12-17","Male","174977","74353","648920"
"KWAZULU-NATAL","12-17","Female","172836","81592","647510"
"KWAZULU-NATAL","12-17","Male","121763","52117","658202"
"LIMPOPO","12-17","Female","156329","57128","352420"
"LIMPOPO","12-17","Male","134010","42526","372427"
"MPUMALANGA","12-17","Female","81297","31322","257710"
"MPUMALANGA","12-17","Male","67068","21874","259479"
"NORTHERN CAPE","12-17","Female","20330","8578","69852"
"NORTHERN CAPE","12-17","Male","16247","6354","69047"
"NORTH WEST","12-17","Female","82240","30194","221385"
"NORTH WEST","12-17","Male","68727","22437","223092"
"WESTERN CAPE","12-17","Female","71127","29455","320269"
"WESTERN CAPE","12-17","Male","61177","24780","322848"
