"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921503"
"eastern cape","Pfizer","1357136"
"free state","Johnson & Johnson","488778"
"free state","Pfizer","682730"
"gauteng","Johnson & Johnson","1561161"
"gauteng","Pfizer","3940371"
"kwazulu-natal","Johnson & Johnson","1253790"
"kwazulu-natal","Pfizer","2004800"
"limpopo","Johnson & Johnson","1085804"
"limpopo","Pfizer","1056184"
"mpumalanga","Johnson & Johnson","835904"
"mpumalanga","Pfizer","582784"
"northern cape","Johnson & Johnson","217053"
"northern cape","Pfizer","228977"
"north west","Johnson & Johnson","716557"
"north west","Pfizer","628986"
"western cape","Johnson & Johnson","755519"
"western cape","Pfizer","2132314"
