"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","131818","33343","416942"
"EASTERN CAPE","12-17","Male","105964","22518","429096"
"FREE STATE","12-17","Female","86195","34617","161705"
"FREE STATE","12-17","Male","72736","25295","162847"
"GAUTENG","12-17","Female","201056","76743","649047"
"GAUTENG","12-17","Male","165081","59613","648920"
"KWAZULU-NATAL","12-17","Female","139470","44736","647510"
"KWAZULU-NATAL","12-17","Male","98581","29376","658202"
"LIMPOPO","12-17","Female","125030","36181","352420"
"LIMPOPO","12-17","Male","104412","27159","372427"
"MPUMALANGA","12-17","Female","68300","17718","257710"
"MPUMALANGA","12-17","Male","57627","13045","259479"
"NORTHERN CAPE","12-17","Female","13714","4343","69852"
"NORTHERN CAPE","12-17","Male","11188","3233","69047"
"NORTH WEST","12-17","Female","78052","23214","221385"
"NORTH WEST","12-17","Male","64947","16910","223092"
"WESTERN CAPE","12-17","Female","70234","26306","320269"
"WESTERN CAPE","12-17","Male","59652","21831","322848"
