"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","889643"
"eastern cape","Pfizer","1301588"
"free state","Johnson & Johnson","474032"
"free state","Pfizer","653615"
"gauteng","Johnson & Johnson","1479127"
"gauteng","Pfizer","3815285"
"kwazulu-natal","Johnson & Johnson","1190672"
"kwazulu-natal","Pfizer","1904894"
"limpopo","Johnson & Johnson","1050155"
"limpopo","Pfizer","1012714"
"mpumalanga","Johnson & Johnson","784254"
"mpumalanga","Pfizer","549996"
"northern cape","Johnson & Johnson","208861"
"northern cape","Pfizer","217624"
"north west","Johnson & Johnson","695840"
"north west","Pfizer","604825"
"western cape","Johnson & Johnson","731329"
"western cape","Pfizer","2086759"
