"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","152984","51570","416942"
"EASTERN CAPE","12-17","Male","124782","36019","429096"
"FREE STATE","12-17","Female","93002","42681","161705"
"FREE STATE","12-17","Male","78964","31905","162847"
"GAUTENG","12-17","Female","215610","92184","649047"
"GAUTENG","12-17","Male","176737","70806","648920"
"KWAZULU-NATAL","12-17","Female","167150","67493","647510"
"KWAZULU-NATAL","12-17","Male","117225","42977","658202"
"LIMPOPO","12-17","Female","146932","48428","352420"
"LIMPOPO","12-17","Male","124260","35874","372427"
"MPUMALANGA","12-17","Female","77951","24905","257710"
"MPUMALANGA","12-17","Male","64777","17861","259479"
"NORTHERN CAPE","12-17","Female","18281","5890","69852"
"NORTHERN CAPE","12-17","Male","14642","4416","69047"
"NORTH WEST","12-17","Female","83973","29125","221385"
"NORTH WEST","12-17","Male","69733","21074","223092"
"WESTERN CAPE","12-17","Female","70803","27689","320269"
"WESTERN CAPE","12-17","Male","60365","23090","322848"
