"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154479","55990","416942"
"EASTERN CAPE","12-17","Male","126945","39520","429096"
"FREE STATE","12-17","Female","93008","44453","161705"
"FREE STATE","12-17","Male","79149","33273","162847"
"GAUTENG","12-17","Female","217261","95981","649047"
"GAUTENG","12-17","Male","178504","74040","648920"
"KWAZULU-NATAL","12-17","Female","173449","73872","647510"
"KWAZULU-NATAL","12-17","Male","121871","47284","658202"
"LIMPOPO","12-17","Female","152871","52703","352420"
"LIMPOPO","12-17","Male","131725","39181","372427"
"MPUMALANGA","12-17","Female","79520","27155","257710"
"MPUMALANGA","12-17","Male","66227","19260","259479"
"NORTHERN CAPE","12-17","Female","19268","6767","69852"
"NORTHERN CAPE","12-17","Male","15352","4997","69047"
"NORTH WEST","12-17","Female","84273","30332","221385"
"NORTH WEST","12-17","Male","70180","22209","223092"
"WESTERN CAPE","12-17","Female","70693","28559","320269"
"WESTERN CAPE","12-17","Male","60577","23964","322848"
