"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","914687"
"eastern cape","Pfizer","1332885"
"free state","Johnson & Johnson","485966"
"free state","Pfizer","671030"
"gauteng","Johnson & Johnson","1537799"
"gauteng","Pfizer","3898146"
"kwazulu-natal","Johnson & Johnson","1236016"
"kwazulu-natal","Pfizer","1971960"
"limpopo","Johnson & Johnson","1076616"
"limpopo","Pfizer","1038342"
"mpumalanga","Johnson & Johnson","822057"
"mpumalanga","Pfizer","569257"
"northern cape","Johnson & Johnson","214712"
"northern cape","Pfizer","225127"
"north west","Johnson & Johnson","712006"
"north west","Pfizer","620386"
"western cape","Johnson & Johnson","748463"
"western cape","Pfizer","2115635"
