"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","909175"
"eastern cape","Pfizer","1322920"
"free state","Johnson & Johnson","483307"
"free state","Pfizer","666160"
"gauteng","Johnson & Johnson","1523650"
"gauteng","Pfizer","3876253"
"kwazulu-natal","Johnson & Johnson","1224620"
"kwazulu-natal","Pfizer","1953579"
"limpopo","Johnson & Johnson","1072097"
"limpopo","Pfizer","1030893"
"mpumalanga","Johnson & Johnson","811417"
"mpumalanga","Pfizer","563315"
"northern cape","Johnson & Johnson","212926"
"northern cape","Pfizer","222478"
"north west","Johnson & Johnson","708852"
"north west","Pfizer","615919"
"western cape","Johnson & Johnson","744353"
"western cape","Pfizer","2108205"
