"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154881","54677","416942"
"EASTERN CAPE","12-17","Male","126608","38511","429096"
"FREE STATE","12-17","Female","93359","43445","161705"
"FREE STATE","12-17","Male","79356","32513","162847"
"GAUTENG","12-17","Female","217119","93801","649047"
"GAUTENG","12-17","Male","178104","72160","648920"
"KWAZULU-NATAL","12-17","Female","171387","70914","647510"
"KWAZULU-NATAL","12-17","Male","120415","45402","658202"
"LIMPOPO","12-17","Female","151097","50387","352420"
"LIMPOPO","12-17","Male","129441","37594","372427"
"MPUMALANGA","12-17","Female","79074","26178","257710"
"MPUMALANGA","12-17","Male","65908","18688","259479"
"NORTHERN CAPE","12-17","Female","19017","6377","69852"
"NORTHERN CAPE","12-17","Male","15194","4746","69047"
"NORTH WEST","12-17","Female","84507","29870","221385"
"NORTH WEST","12-17","Male","70273","21709","223092"
"WESTERN CAPE","12-17","Female","70846","27891","320269"
"WESTERN CAPE","12-17","Male","60549","23360","322848"
