"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922939"
"eastern cape","Pfizer","1363202"
"free state","Johnson & Johnson","489209"
"free state","Pfizer","685087"
"gauteng","Johnson & Johnson","1567854"
"gauteng","Pfizer","3949776"
"kwazulu-natal","Johnson & Johnson","1256942"
"kwazulu-natal","Pfizer","2011173"
"limpopo","Johnson & Johnson","1089525"
"limpopo","Pfizer","1061188"
"mpumalanga","Johnson & Johnson","838373"
"mpumalanga","Pfizer","585980"
"northern cape","Johnson & Johnson","217777"
"northern cape","Pfizer","229851"
"north west","Johnson & Johnson","718161"
"north west","Pfizer","631362"
"western cape","Johnson & Johnson","757227"
"western cape","Pfizer","2135986"
