"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14401","5261","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","12251","4359","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19133","10551","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","15061","7406","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8519","3087","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7532","2417","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11188","6464","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9445","4821","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13665","5364","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11211","3927","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17847","6749","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15084","4823","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26442","15797","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23396","12662","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4266","1197","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3492","816","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51561","21855","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42224","16794","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15343","6904","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12274","5229","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19617","10298","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16093","7801","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6737","2900","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4399","1799","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26255","12477","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22765","10575","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13321","7896","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10492","5755","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8868","4468","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5401","2489","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12689","5172","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8332","3171","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13258","5702","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8697","3194","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14173","5788","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10237","3822","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20471","10317","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","12988","5429","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14907","6340","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9185","3454","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15531","7000","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10483","4110","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24169","12857","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17374","8126","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36654","15358","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31524","11569","86098"
"LIMPOPO","MOPANI DM","12-17","Female","37221","12943","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30654","9333","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26424","10052","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25907","8452","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38275","12764","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","31001","8802","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17648","6971","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14755","5172","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47955","19612","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36648","12897","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17153","6612","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17789","5556","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7632","3713","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6346","2820","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1718","668","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1385","505","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3617","1599","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2754","1143","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32330","13486","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26800","9925","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21436","7493","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17851","5475","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9293","4039","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8096","3350","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","818","385","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","632","282","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6301","2566","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5352","1978","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3028","1004","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2392","776","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4188","1839","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3653","1412","22568"
