"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","889605"
"eastern cape","Pfizer","1301482"
"free state","Johnson & Johnson","474027"
"free state","Pfizer","653556"
"gauteng","Johnson & Johnson","1478938"
"gauteng","Pfizer","3814840"
"kwazulu-natal","Johnson & Johnson","1190519"
"kwazulu-natal","Pfizer","1904663"
"limpopo","Johnson & Johnson","1050113"
"limpopo","Pfizer","1012574"
"mpumalanga","Johnson & Johnson","784224"
"mpumalanga","Pfizer","549920"
"northern cape","Johnson & Johnson","208847"
"northern cape","Pfizer","217593"
"north west","Johnson & Johnson","695673"
"north west","Pfizer","604698"
"western cape","Johnson & Johnson","731307"
"western cape","Pfizer","2086678"
