"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","131843","33318","416942"
"EASTERN CAPE","12-17","Male","105973","22481","429096"
"FREE STATE","12-17","Female","86200","34630","161705"
"FREE STATE","12-17","Male","72733","25295","162847"
"GAUTENG","12-17","Female","201119","76737","649047"
"GAUTENG","12-17","Male","165101","59583","648920"
"KWAZULU-NATAL","12-17","Female","139453","44613","647510"
"KWAZULU-NATAL","12-17","Male","98589","29317","658202"
"LIMPOPO","12-17","Female","125058","36178","352420"
"LIMPOPO","12-17","Male","104404","27143","372427"
"MPUMALANGA","12-17","Female","68334","17690","257710"
"MPUMALANGA","12-17","Male","57645","13023","259479"
"NORTHERN CAPE","12-17","Female","13725","4347","69852"
"NORTHERN CAPE","12-17","Male","11190","3231","69047"
"NORTH WEST","12-17","Female","78003","23159","221385"
"NORTH WEST","12-17","Male","64930","16888","223092"
"WESTERN CAPE","12-17","Female","70260","26310","320269"
"WESTERN CAPE","12-17","Male","59673","21841","322848"
