"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","158954","64743","416942"
"EASTERN CAPE","12-17","Male","131398","47164","429096"
"FREE STATE","12-17","Female","92464","45500","161705"
"FREE STATE","12-17","Male","78920","34295","162847"
"GAUTENG","12-17","Female","213946","96116","649047"
"GAUTENG","12-17","Male","176070","74510","648920"
"KWAZULU-NATAL","12-17","Female","174119","81333","647510"
"KWAZULU-NATAL","12-17","Male","122564","51731","658202"
"LIMPOPO","12-17","Female","156369","56139","352420"
"LIMPOPO","12-17","Male","133990","41620","372427"
"MPUMALANGA","12-17","Female","81117","30009","257710"
"MPUMALANGA","12-17","Male","67001","21028","259479"
"NORTHERN CAPE","12-17","Female","20192","8302","69852"
"NORTHERN CAPE","12-17","Male","16163","6145","69047"
"NORTH WEST","12-17","Female","82946","30357","221385"
"NORTH WEST","12-17","Male","69212","22456","223092"
"WESTERN CAPE","12-17","Female","71366","29208","320269"
"WESTERN CAPE","12-17","Male","61309","24591","322848"
