"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","919432"
"eastern cape","Pfizer","1347228"
"free state","Johnson & Johnson","487966"
"free state","Pfizer","678413"
"gauteng","Johnson & Johnson","1552546"
"gauteng","Pfizer","3925502"
"kwazulu-natal","Johnson & Johnson","1249041"
"kwazulu-natal","Pfizer","1993794"
"limpopo","Johnson & Johnson","1082431"
"limpopo","Pfizer","1048999"
"mpumalanga","Johnson & Johnson","832259"
"mpumalanga","Pfizer","578220"
"northern cape","Johnson & Johnson","216358"
"northern cape","Pfizer","227758"
"north west","Johnson & Johnson","714882"
"north west","Pfizer","625654"
"western cape","Johnson & Johnson","752938"
"western cape","Pfizer","2126436"
