"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915959"
"eastern cape","Pfizer","1336183"
"free state","Johnson & Johnson","486523"
"free state","Pfizer","672667"
"gauteng","Johnson & Johnson","1541035"
"gauteng","Pfizer","3903912"
"kwazulu-natal","Johnson & Johnson","1239978"
"kwazulu-natal","Pfizer","1977337"
"limpopo","Johnson & Johnson","1077673"
"limpopo","Pfizer","1040599"
"mpumalanga","Johnson & Johnson","825433"
"mpumalanga","Pfizer","571704"
"northern cape","Johnson & Johnson","215432"
"northern cape","Pfizer","226095"
"north west","Johnson & Johnson","712777"
"north west","Pfizer","621618"
"western cape","Johnson & Johnson","749543"
"western cape","Pfizer","2118250"
