"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154430","56754","416942"
"EASTERN CAPE","12-17","Male","126946","40277","429096"
"FREE STATE","12-17","Female","92745","44486","161705"
"FREE STATE","12-17","Male","79006","33403","162847"
"GAUTENG","12-17","Female","216565","96038","649047"
"GAUTENG","12-17","Male","178013","74219","648920"
"KWAZULU-NATAL","12-17","Female","173411","74816","647510"
"KWAZULU-NATAL","12-17","Male","121909","47786","658202"
"LIMPOPO","12-17","Female","152729","52950","352420"
"LIMPOPO","12-17","Male","131610","39386","372427"
"MPUMALANGA","12-17","Female","79569","27408","257710"
"MPUMALANGA","12-17","Male","66247","19421","259479"
"NORTHERN CAPE","12-17","Female","19550","7146","69852"
"NORTHERN CAPE","12-17","Male","15600","5289","69047"
"NORTH WEST","12-17","Female","84041","30412","221385"
"NORTH WEST","12-17","Male","70041","22313","223092"
"WESTERN CAPE","12-17","Female","70497","28680","320269"
"WESTERN CAPE","12-17","Male","60450","24072","322848"
