"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921057"
"eastern cape","Pfizer","1354732"
"free state","Johnson & Johnson","488633"
"free state","Pfizer","681836"
"gauteng","Johnson & Johnson","1559132"
"gauteng","Pfizer","3937120"
"kwazulu-natal","Johnson & Johnson","1252694"
"kwazulu-natal","Pfizer","2002509"
"limpopo","Johnson & Johnson","1084905"
"limpopo","Pfizer","1054419"
"mpumalanga","Johnson & Johnson","835099"
"mpumalanga","Pfizer","581759"
"northern cape","Johnson & Johnson","216911"
"northern cape","Pfizer","228694"
"north west","Johnson & Johnson","716186"
"north west","Pfizer","628180"
"western cape","Johnson & Johnson","754971"
"western cape","Pfizer","2131038"
