"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","923426"
"eastern cape","Pfizer","1365035"
"free state","Johnson & Johnson","489309"
"free state","Pfizer","685758"
"gauteng","Johnson & Johnson","1569666"
"gauteng","Pfizer","3952295"
"kwazulu-natal","Johnson & Johnson","1257930"
"kwazulu-natal","Pfizer","2012885"
"limpopo","Johnson & Johnson","1090243"
"limpopo","Pfizer","1062642"
"mpumalanga","Johnson & Johnson","839055"
"mpumalanga","Pfizer","586839"
"northern cape","Johnson & Johnson","217965"
"northern cape","Pfizer","230067"
"north west","Johnson & Johnson","718536"
"north west","Pfizer","632044"
"western cape","Johnson & Johnson","757837"
"western cape","Pfizer","2137138"
