"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154766","54383","416942"
"EASTERN CAPE","12-17","Male","126398","38258","429096"
"FREE STATE","12-17","Female","93332","43369","161705"
"FREE STATE","12-17","Male","79351","32455","162847"
"GAUTENG","12-17","Female","216844","93456","649047"
"GAUTENG","12-17","Male","177873","71895","648920"
"KWAZULU-NATAL","12-17","Female","170779","70468","647510"
"KWAZULU-NATAL","12-17","Male","119986","45134","658202"
"LIMPOPO","12-17","Female","150332","50060","352420"
"LIMPOPO","12-17","Male","128095","37271","372427"
"MPUMALANGA","12-17","Female","78873","26064","257710"
"MPUMALANGA","12-17","Male","65731","18606","259479"
"NORTHERN CAPE","12-17","Female","18824","6317","69852"
"NORTHERN CAPE","12-17","Male","15060","4712","69047"
"NORTH WEST","12-17","Female","84429","29778","221385"
"NORTH WEST","12-17","Male","70187","21655","223092"
"WESTERN CAPE","12-17","Female","70794","27863","320269"
"WESTERN CAPE","12-17","Male","60488","23287","322848"
