"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","908763"
"eastern cape","Pfizer","1322198"
"free state","Johnson & Johnson","483050"
"free state","Pfizer","665807"
"gauteng","Johnson & Johnson","1522464"
"gauteng","Pfizer","3874510"
"kwazulu-natal","Johnson & Johnson","1223574"
"kwazulu-natal","Pfizer","1952034"
"limpopo","Johnson & Johnson","1071634"
"limpopo","Pfizer","1030266"
"mpumalanga","Johnson & Johnson","810364"
"mpumalanga","Pfizer","562760"
"northern cape","Johnson & Johnson","212822"
"northern cape","Pfizer","222271"
"north west","Johnson & Johnson","708526"
"north west","Pfizer","615469"
"western cape","Johnson & Johnson","744044"
"western cape","Pfizer","2107628"
