"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","915928"
"eastern cape","Pfizer","1335925"
"free state","Johnson & Johnson","486516"
"free state","Pfizer","672530"
"gauteng","Johnson & Johnson","1540916"
"gauteng","Pfizer","3903445"
"kwazulu-natal","Johnson & Johnson","1239796"
"kwazulu-natal","Pfizer","1976956"
"limpopo","Johnson & Johnson","1077669"
"limpopo","Pfizer","1040359"
"mpumalanga","Johnson & Johnson","825406"
"mpumalanga","Pfizer","571570"
"northern cape","Johnson & Johnson","215413"
"northern cape","Pfizer","226050"
"north west","Johnson & Johnson","712717"
"north west","Pfizer","621477"
"western cape","Johnson & Johnson","749522"
"western cape","Pfizer","2118039"
