"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154504","56783","416942"
"EASTERN CAPE","12-17","Male","127038","40288","429096"
"FREE STATE","12-17","Female","92818","44519","161705"
"FREE STATE","12-17","Male","79051","33416","162847"
"GAUTENG","12-17","Female","216737","96094","649047"
"GAUTENG","12-17","Male","178153","74257","648920"
"KWAZULU-NATAL","12-17","Female","173553","74862","647510"
"KWAZULU-NATAL","12-17","Male","122011","47800","658202"
"LIMPOPO","12-17","Female","152809","52976","352420"
"LIMPOPO","12-17","Male","131670","39410","372427"
"MPUMALANGA","12-17","Female","79625","27424","257710"
"MPUMALANGA","12-17","Male","66302","19437","259479"
"NORTHERN CAPE","12-17","Female","19558","7146","69852"
"NORTHERN CAPE","12-17","Male","15602","5284","69047"
"NORTH WEST","12-17","Female","84096","30421","221385"
"NORTH WEST","12-17","Male","70080","22321","223092"
"WESTERN CAPE","12-17","Female","70571","28715","320269"
"WESTERN CAPE","12-17","Male","60496","24083","322848"
