"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","899279"
"eastern cape","Pfizer","1311141"
"free state","Johnson & Johnson","478532"
"free state","Pfizer","659318"
"gauteng","Johnson & Johnson","1499426"
"gauteng","Pfizer","3843009"
"kwazulu-natal","Johnson & Johnson","1205797"
"kwazulu-natal","Pfizer","1925557"
"limpopo","Johnson & Johnson","1060260"
"limpopo","Pfizer","1020457"
"mpumalanga","Johnson & Johnson","796006"
"mpumalanga","Pfizer","555556"
"northern cape","Johnson & Johnson","210645"
"northern cape","Pfizer","219693"
"north west","Johnson & Johnson","702228"
"north west","Pfizer","609609"
"western cape","Johnson & Johnson","737111"
"western cape","Pfizer","2096318"
