"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154813","55814","416942"
"EASTERN CAPE","12-17","Male","127148","39369","429096"
"FREE STATE","12-17","Female","93224","44325","161705"
"FREE STATE","12-17","Male","79343","33201","162847"
"GAUTENG","12-17","Female","217697","95585","649047"
"GAUTENG","12-17","Male","178833","73698","648920"
"KWAZULU-NATAL","12-17","Female","173427","73329","647510"
"KWAZULU-NATAL","12-17","Male","121959","47012","658202"
"LIMPOPO","12-17","Female","153118","52395","352420"
"LIMPOPO","12-17","Male","131931","38981","372427"
"MPUMALANGA","12-17","Female","79537","27056","257710"
"MPUMALANGA","12-17","Male","66255","19176","259479"
"NORTHERN CAPE","12-17","Female","19185","6620","69852"
"NORTHERN CAPE","12-17","Male","15301","4887","69047"
"NORTH WEST","12-17","Female","84485","30310","221385"
"NORTH WEST","12-17","Male","70315","22140","223092"
"WESTERN CAPE","12-17","Female","70944","28448","320269"
"WESTERN CAPE","12-17","Male","60720","23855","322848"
