"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","913234"
"eastern cape","Pfizer","1329044"
"free state","Johnson & Johnson","485149"
"free state","Pfizer","669185"
"gauteng","Johnson & Johnson","1533128"
"gauteng","Pfizer","3890806"
"kwazulu-natal","Johnson & Johnson","1232084"
"kwazulu-natal","Pfizer","1965609"
"limpopo","Johnson & Johnson","1075299"
"limpopo","Pfizer","1035771"
"mpumalanga","Johnson & Johnson","818280"
"mpumalanga","Pfizer","566922"
"northern cape","Johnson & Johnson","213962"
"northern cape","Pfizer","224071"
"north west","Johnson & Johnson","711011"
"north west","Pfizer","618887"
"western cape","Johnson & Johnson","747183"
"western cape","Pfizer","2112937"
