"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921851"
"eastern cape","Pfizer","1358699"
"free state","Johnson & Johnson","488877"
"free state","Pfizer","683340"
"gauteng","Johnson & Johnson","1562608"
"gauteng","Pfizer","3942760"
"kwazulu-natal","Johnson & Johnson","1254527"
"kwazulu-natal","Pfizer","2006391"
"limpopo","Johnson & Johnson","1086796"
"limpopo","Pfizer","1057384"
"mpumalanga","Johnson & Johnson","836451"
"mpumalanga","Pfizer","583399"
"northern cape","Johnson & Johnson","217220"
"northern cape","Pfizer","229188"
"north west","Johnson & Johnson","716881"
"north west","Pfizer","629555"
"western cape","Johnson & Johnson","755906"
"western cape","Pfizer","2133323"
