"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","918362"
"eastern cape","Pfizer","1342930"
"free state","Johnson & Johnson","487477"
"free state","Pfizer","676327"
"gauteng","Johnson & Johnson","1548716"
"gauteng","Pfizer","3917406"
"kwazulu-natal","Johnson & Johnson","1246921"
"kwazulu-natal","Pfizer","1988487"
"limpopo","Johnson & Johnson","1080650"
"limpopo","Pfizer","1045721"
"mpumalanga","Johnson & Johnson","830496"
"mpumalanga","Pfizer","575992"
"northern cape","Johnson & Johnson","216166"
"northern cape","Pfizer","227218"
"north west","Johnson & Johnson","714145"
"north west","Pfizer","624077"
"western cape","Johnson & Johnson","751577"
"western cape","Pfizer","2123364"
