"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","150318","48549","416942"
"EASTERN CAPE","12-17","Male","122389","33383","429096"
"FREE STATE","12-17","Female","91701","41465","161705"
"FREE STATE","12-17","Male","77755","30748","162847"
"GAUTENG","12-17","Female","213255","90436","649047"
"GAUTENG","12-17","Male","174940","69352","648920"
"KWAZULU-NATAL","12-17","Female","161848","63420","647510"
"KWAZULU-NATAL","12-17","Male","113453","40271","658202"
"LIMPOPO","12-17","Female","141936","45866","352420"
"LIMPOPO","12-17","Male","119417","33788","372427"
"MPUMALANGA","12-17","Female","76243","23316","257710"
"MPUMALANGA","12-17","Male","63507","16710","259479"
"NORTHERN CAPE","12-17","Female","17722","5592","69852"
"NORTHERN CAPE","12-17","Male","14213","4190","69047"
"NORTH WEST","12-17","Female","82977","28304","221385"
"NORTH WEST","12-17","Male","68902","20431","223092"
"WESTERN CAPE","12-17","Female","70635","27459","320269"
"WESTERN CAPE","12-17","Male","60192","22869","322848"
