"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","903674"
"eastern cape","Pfizer","1315564"
"free state","Johnson & Johnson","480523"
"free state","Pfizer","662285"
"gauteng","Johnson & Johnson","1509348"
"gauteng","Pfizer","3856873"
"kwazulu-natal","Johnson & Johnson","1214126"
"kwazulu-natal","Pfizer","1937649"
"limpopo","Johnson & Johnson","1065100"
"limpopo","Pfizer","1024483"
"mpumalanga","Johnson & Johnson","801791"
"mpumalanga","Pfizer","558493"
"northern cape","Johnson & Johnson","211507"
"northern cape","Pfizer","220720"
"north west","Johnson & Johnson","705166"
"north west","Pfizer","612259"
"western cape","Johnson & Johnson","739762"
"western cape","Pfizer","2101360"
