"province","age_group","sex","total_number_individuals_vaccinated","population"
"EASTERN CAPE","18-34","Female","379395","839479"
"EASTERN CAPE","18-34","Male","282228","854468"
"EASTERN CAPE","35-49","Female","364219","586430"
"EASTERN CAPE","35-49","Male","245851","522727"
"EASTERN CAPE","50-59","Female","233694","320585"
"EASTERN CAPE","50-59","Male","146334","196960"
"EASTERN CAPE","60+","Female","354308","517296"
"EASTERN CAPE","60+","Male","212802","261598"
"EASTERN CAPE","Unidentified","Female","312",""
"EASTERN CAPE","Unidentified","Male","95",""
"FREE STATE","18-34","Female","224924","410210"
"FREE STATE","18-34","Male","170886","419145"
"FREE STATE","35-49","Female","190374","283918"
"FREE STATE","35-49","Male","156428","266941"
"FREE STATE","50-59","Female","103653","140470"
"FREE STATE","50-59","Male","80312","105617"
"FREE STATE","60+","Female","132845","178195"
"FREE STATE","60+","Male","83231","110025"
"FREE STATE","Unidentified","Female","93",""
"FREE STATE","Unidentified","Male","62",""
"GAUTENG","18-34","Female","968388","2584852"
"GAUTENG","18-34","Male","821448","2611302"
"GAUTENG","35-49","Female","977902","1659380"
"GAUTENG","35-49","Male","911906","1782603"
"GAUTENG","50-59","Female","432132","675158"
"GAUTENG","50-59","Male","410681","655342"
"GAUTENG","60+","Female","478402","745260"
"GAUTENG","60+","Male","364856","597429"
"GAUTENG","Unidentified","Female","309",""
"GAUTENG","Unidentified","Male","197",""
"KWAZULU-NATAL","18-34","Female","605484","1707989"
"KWAZULU-NATAL","18-34","Male","417404","1725158"
"KWAZULU-NATAL","35-49","Female","557777","1071255"
"KWAZULU-NATAL","35-49","Male","400064","951364"
"KWAZULU-NATAL","50-59","Female","295754","492136"
"KWAZULU-NATAL","50-59","Male","197966","316845"
"KWAZULU-NATAL","60+","Female","432094","624115"
"KWAZULU-NATAL","60+","Male","244708","330933"
"KWAZULU-NATAL","Unidentified","Female","384",""
"KWAZULU-NATAL","Unidentified","Male","140",""
"LIMPOPO","18-34","Female","417380","818804"
"LIMPOPO","18-34","Male","279814","833104"
"LIMPOPO","35-49","Female","368531","573264"
"LIMPOPO","35-49","Male","242266","493423"
"LIMPOPO","50-59","Female","196735","265501"
"LIMPOPO","50-59","Male","131609","165831"
"LIMPOPO","60+","Female","287274","372555"
"LIMPOPO","60+","Male","165251","173319"
"LIMPOPO","Unidentified","Female","625",""
"LIMPOPO","Unidentified","Male","98",""
"MPUMALANGA","18-34","Female","262543","681710"
"MPUMALANGA","18-34","Male","219170","729028"
"MPUMALANGA","35-49","Female","231833","451254"
"MPUMALANGA","35-49","Male","201719","457785"
"MPUMALANGA","50-59","Female","114324","197794"
"MPUMALANGA","50-59","Male","92432","151183"
"MPUMALANGA","60+","Female","138479","224305"
"MPUMALANGA","60+","Male","99561","146461"
"MPUMALANGA","Unidentified","Female","159",""
"MPUMALANGA","Unidentified","Male","64",""
"NORTHERN CAPE","18-34","Female","75446","174695"
"NORTHERN CAPE","18-34","Male","71561","182300"
"NORTHERN CAPE","35-49","Female","67575","118328"
"NORTHERN CAPE","35-49","Male","71124","131923"
"NORTHERN CAPE","50-59","Female","36401","57823"
"NORTHERN CAPE","50-59","Male","33648","49198"
"NORTHERN CAPE","60+","Female","43876","80820"
"NORTHERN CAPE","60+","Male","32563","52458"
"NORTHERN CAPE","Unidentified","Female","24",""
"NORTHERN CAPE","Unidentified","Male","9",""
"NORTH WEST","18-34","Female","238538","547199"
"NORTH WEST","18-34","Male","196765","611287"
"NORTH WEST","35-49","Female","212080","386831"
"NORTH WEST","35-49","Male","212136","437698"
"NORTH WEST","50-59","Female","107654","173790"
"NORTH WEST","50-59","Male","106672","168889"
"NORTH WEST","60+","Female","138954","213393"
"NORTH WEST","60+","Male","104383","154160"
"NORTH WEST","Unidentified","Female","127",""
"NORTH WEST","Unidentified","Male","116",""
"WESTERN CAPE","18-34","Female","518187","1010156"
"WESTERN CAPE","18-34","Male","448375","1047625"
"WESTERN CAPE","35-49","Female","470377","744325"
"WESTERN CAPE","35-49","Male","412820","767488"
"WESTERN CAPE","50-59","Female","241186","368383"
"WESTERN CAPE","50-59","Male","208202","315766"
"WESTERN CAPE","60+","Female","311086","422288"
"WESTERN CAPE","60+","Male","230681","300872"
"WESTERN CAPE","Unidentified","Female","130",""
"WESTERN CAPE","Unidentified","Male","78",""
