"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","148477","46798","416942"
"EASTERN CAPE","12-17","Male","120634","32068","429096"
"FREE STATE","12-17","Female","90993","40672","161705"
"FREE STATE","12-17","Male","77078","30049","162847"
"GAUTENG","12-17","Female","211428","88869","649047"
"GAUTENG","12-17","Male","173418","68261","648920"
"KWAZULU-NATAL","12-17","Female","158072","61092","647510"
"KWAZULU-NATAL","12-17","Male","110798","38708","658202"
"LIMPOPO","12-17","Female","138831","44227","352420"
"LIMPOPO","12-17","Male","116542","32637","372427"
"MPUMALANGA","12-17","Female","75214","22213","257710"
"MPUMALANGA","12-17","Male","62751","16056","259479"
"NORTHERN CAPE","12-17","Female","17135","5262","69852"
"NORTHERN CAPE","12-17","Male","13801","3912","69047"
"NORTH WEST","12-17","Female","82421","27379","221385"
"NORTH WEST","12-17","Male","68260","19806","223092"
"WESTERN CAPE","12-17","Female","70601","27278","320269"
"WESTERN CAPE","12-17","Male","60118","22701","322848"
