"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","901842"
"eastern cape","Pfizer","1313805"
"free state","Johnson & Johnson","479676"
"free state","Pfizer","661016"
"gauteng","Johnson & Johnson","1504975"
"gauteng","Pfizer","3851165"
"kwazulu-natal","Johnson & Johnson","1211063"
"kwazulu-natal","Pfizer","1932845"
"limpopo","Johnson & Johnson","1062883"
"limpopo","Pfizer","1022681"
"mpumalanga","Johnson & Johnson","799212"
"mpumalanga","Pfizer","557172"
"northern cape","Johnson & Johnson","211189"
"northern cape","Pfizer","220304"
"north west","Johnson & Johnson","703803"
"north west","Pfizer","611084"
"western cape","Johnson & Johnson","738634"
"western cape","Pfizer","2099236"
