"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","925864"
"eastern cape","Pfizer","1371596"
"free state","Johnson & Johnson","489647"
"free state","Pfizer","687850"
"gauteng","Johnson & Johnson","1576425"
"gauteng","Pfizer","3961030"
"kwazulu-natal","Johnson & Johnson","1260690"
"kwazulu-natal","Pfizer","2017723"
"limpopo","Johnson & Johnson","1092074"
"limpopo","Pfizer","1066832"
"mpumalanga","Johnson & Johnson","840719"
"mpumalanga","Pfizer","588879"
"northern cape","Johnson & Johnson","218402"
"northern cape","Pfizer","230932"
"north west","Johnson & Johnson","720030"
"north west","Pfizer","634467"
"western cape","Johnson & Johnson","759574"
"western cape","Pfizer","2140229"
