"province","district","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","AMATHOLE DM","12-17","Female","14071","4755","54013"
"EASTERN CAPE","AMATHOLE DM","12-17","Male","11931","3919","59147"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Female","19016","10287","40374"
"EASTERN CAPE","BUFFALO CITY MM","12-17","Male","14851","7169","41449"
"EASTERN CAPE","JOE GQABI DM","12-17","Female","8515","3063","21796"
"EASTERN CAPE","JOE GQABI DM","12-17","Male","7531","2357","23762"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Female","11207","6423","25499"
"EASTERN CAPE","SARAH BAARTMAN DM","12-17","Male","9453","4772","26199"
"FREE STATE","FEZILE DABI DM","12-17","Female","13738","5317","26752"
"FREE STATE","FEZILE DABI DM","12-17","Male","11258","3889","26768"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Female","17943","6731","34380"
"FREE STATE","LEJWELEPUTSWA DM","12-17","Male","15160","4811","33735"
"FREE STATE","MANGAUNG MM","12-17","Female","26507","15629","45611"
"FREE STATE","MANGAUNG MM","12-17","Male","23475","12525","47218"
"FREE STATE","XHARIEP DM","12-17","Female","4281","1191","8183"
"FREE STATE","XHARIEP DM","12-17","Male","3510","798","8133"
"GAUTENG","EKURHULENI MM","12-17","Female","51908","21979","165897"
"GAUTENG","EKURHULENI MM","12-17","Male","42437","16793","165688"
"GAUTENG","SEDIBENG DM","12-17","Female","15461","6955","43340"
"GAUTENG","SEDIBENG DM","12-17","Male","12334","5251","46239"
"GAUTENG","WEST RAND DM","12-17","Female","19714","10309","41623"
"GAUTENG","WEST RAND DM","12-17","Male","16168","7804","41409"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Female","6793","2900","33168"
"KWAZULU-NATAL","AMAJUBA DM","12-17","Male","4419","1799","33581"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Female","26356","12526","172176"
"KWAZULU-NATAL","ETHEKWINI MM","12-17","Male","22831","10609","180552"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Female","13388","7921","34875"
"KWAZULU-NATAL","HARRY GWALA DM","12-17","Male","10542","5758","34556"
"KWAZULU-NATAL","ILEMBE DM","12-17","Female","8930","4485","38682"
"KWAZULU-NATAL","ILEMBE DM","12-17","Male","5436","2487","39106"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Female","12783","5214","61538"
"KWAZULU-NATAL","KING CETSHWAYO DM","12-17","Male","8383","3193","61800"
"KWAZULU-NATAL","UGU DM","12-17","Female","13313","5673","51740"
"KWAZULU-NATAL","UGU DM","12-17","Male","8720","3157","52856"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Female","14140","5790","60728"
"KWAZULU-NATAL","UMGUNGUNDLOVU DM","12-17","Male","10186","3804","59741"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Female","20567","10267","47511"
"KWAZULU-NATAL","UMKHANYAKUDE DM","12-17","Male","13062","5410","45277"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Female","14995","6366","39331"
"KWAZULU-NATAL","UMZINYATHI DM","12-17","Male","9257","3469","39377"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Female","15643","7036","46750"
"KWAZULU-NATAL","UTHUKELA DM","12-17","Male","10550","4129","48520"
"KWAZULU-NATAL","ZULULAND DM","12-17","Female","24323","12932","61011"
"KWAZULU-NATAL","ZULULAND DM","12-17","Male","17480","8162","62836"
"LIMPOPO","CAPRICORN DM","12-17","Female","36552","15167","81625"
"LIMPOPO","CAPRICORN DM","12-17","Male","31440","11418","86098"
"LIMPOPO","MOPANI DM","12-17","Female","36990","12571","71845"
"LIMPOPO","MOPANI DM","12-17","Male","30456","9002","76268"
"LIMPOPO","SEKHUKHUNE DM","12-17","Female","26273","9993","74350"
"LIMPOPO","SEKHUKHUNE DM","12-17","Male","25893","8436","78272"
"LIMPOPO","VHEMBE DM","12-17","Female","38361","12821","86602"
"LIMPOPO","VHEMBE DM","12-17","Male","31046","8832","91753"
"LIMPOPO","WATERBERG DM","12-17","Female","17612","6898","37998"
"LIMPOPO","WATERBERG DM","12-17","Male","14709","5079","40036"
"MPUMALANGA","EHLANZENI DM","12-17","Female","47523","18832","106459"
"MPUMALANGA","EHLANZENI DM","12-17","Male","36265","12272","106460"
"MPUMALANGA","NKANGALA DM","12-17","Female","17266","6645","80945"
"MPUMALANGA","NKANGALA DM","12-17","Male","17963","5599","82708"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Female","7568","3467","22463"
"NORTHERN CAPE","FRANCES BAARD DM","12-17","Male","6244","2642","23371"
"NORTHERN CAPE","NAMAKWA DM","12-17","Female","1724","670","5781"
"NORTHERN CAPE","NAMAKWA DM","12-17","Male","1396","508","5620"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Female","3636","1612","11577"
"NORTHERN CAPE","PIXLEY KA SEME DM","12-17","Male","2771","1148","11573"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Female","32412","13515","88192"
"NORTH WEST","BOJANALA PLATINUM DM","12-17","Male","26814","9926","91106"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Female","21535","7471","56490"
"NORTH WEST","NGAKA MODIRI MOLEMA DM","12-17","Male","17943","5455","56280"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Female","9257","3979","44783"
"WESTERN CAPE","CAPE WINELANDS DM","12-17","Male","8083","3281","45341"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Female","826","386","4653"
"WESTERN CAPE","CENTRAL KAROO DM","12-17","Male","638","286","4028"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Female","6315","2483","31612"
"WESTERN CAPE","GARDEN ROUTE DM","12-17","Male","5362","1927","30675"
"WESTERN CAPE","OVERBERG DM","12-17","Female","3048","1013","13406"
"WESTERN CAPE","OVERBERG DM","12-17","Male","2410","784","13535"
"WESTERN CAPE","WEST COAST DM","12-17","Female","4196","1696","22541"
"WESTERN CAPE","WEST COAST DM","12-17","Male","3656","1322","22568"
