"vaccine_manufacturer","vaccine_rollout_phase","province","age_group","total_number_first_doses_administered","total_number_second_doses_administered","total_number_booster_doses_administered","total_number_vaccines_administered"
"Janssen Vaccines & Prevention B.V","National","eastern cape","Adults","861051","0","152034","1013085"
"Janssen Vaccines & Prevention B.V","National","free state","Adults","464509","0","94147","558656"
"Janssen Vaccines & Prevention B.V","National","gauteng","Adults","1425398","0","209133","1634531"
"Janssen Vaccines & Prevention B.V","National","kwazulu-natal","Adults","1160205","0","181524","1341729"
"Janssen Vaccines & Prevention B.V","National","limpopo","Adults","1052864","0","154137","1207001"
"Janssen Vaccines & Prevention B.V","National","mpumalanga","Adults","814653","0","128652","943305"
"Janssen Vaccines & Prevention B.V","National","northern cape","Adults","207786","0","34743","242529"
"Janssen Vaccines & Prevention B.V","National","north west","Adults","693478","0","114166","807644"
"Janssen Vaccines & Prevention B.V","National","western cape","Adults","661381","0","111991","773372"
"Janssen Vaccines & Prevention B.V","Sisonke","eastern cape","Adults","60873","0","24221","85094"
"Janssen Vaccines & Prevention B.V","Sisonke","free state","Adults","24396","0","12198","36594"
"Janssen Vaccines & Prevention B.V","Sisonke","gauteng","Adults","137582","0","65388","202970"
"Janssen Vaccines & Prevention B.V","Sisonke","kwazulu-natal","Adults","94506","0","40023","134529"
"Janssen Vaccines & Prevention B.V","Sisonke","limpopo","Adults","34187","0","17016","51203"
"Janssen Vaccines & Prevention B.V","Sisonke","mpumalanga","Adults","21924","0","7151","29075"
"Janssen Vaccines & Prevention B.V","Sisonke","northern cape","Adults","9464","0","4455","13919"
"Janssen Vaccines & Prevention B.V","Sisonke","north west","Adults","23479","0","8965","32444"
"Janssen Vaccines & Prevention B.V","Sisonke","western cape","Adults","94617","0","61527","156144"
"Pfizer","National","eastern cape","Adults","1358986","1144376","251086","2754448"
"Pfizer","National","eastern cape","12-17 Years","294927","118940","0","413867"
"Pfizer","National","free state","12-17 Years","169402","80010","0","249412"
"Pfizer","National","free state","Adults","683422","600762","143523","1427707"
"Pfizer","National","gauteng","12-17 Years","384408","169199","18","553625"
"Pfizer","National","gauteng","Adults","3943229","3418269","685053","8046551"
"Pfizer","National","kwazulu-natal","Adults","2006658","1670248","337809","4014715"
"Pfizer","National","kwazulu-natal","12-17 Years","292097","133087","10","425194"
"Pfizer","National","limpopo","Adults","1057578","887711","177898","2123187"
"Pfizer","National","limpopo","12-17 Years","289332","100217","2","389551"
"Pfizer","National","mpumalanga","12-17 Years","147693","53848","0","201541"
"Pfizer","National","mpumalanga","Adults","583579","480643","108842","1173064"
"Pfizer","National","northern cape","12-17 Years","36378","15099","0","51477"
"Pfizer","National","northern cape","Adults","229234","195671","36840","461745"
"Pfizer","National","north west","12-17 Years","149885","52421","4","202310"
"Pfizer","National","north west","Adults","629637","543906","113146","1286689"
"Pfizer","National","western cape","12-17 Years","131088","54218","3","185309"
"Pfizer","National","western cape","Adults","2133490","1874185","492395","4500070"
