"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","921924"
"eastern cape","Pfizer","1358986"
"free state","Johnson & Johnson","488905"
"free state","Pfizer","683422"
"gauteng","Johnson & Johnson","1562980"
"gauteng","Pfizer","3943229"
"kwazulu-natal","Johnson & Johnson","1254711"
"kwazulu-natal","Pfizer","2006658"
"limpopo","Johnson & Johnson","1087051"
"limpopo","Pfizer","1057578"
"mpumalanga","Johnson & Johnson","836577"
"mpumalanga","Pfizer","583579"
"northern cape","Johnson & Johnson","217250"
"northern cape","Pfizer","229234"
"north west","Johnson & Johnson","716957"
"north west","Pfizer","629637"
"western cape","Johnson & Johnson","755998"
"western cape","Pfizer","2133490"
