"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922093"
"eastern cape","Pfizer","1359642"
"free state","Johnson & Johnson","488945"
"free state","Pfizer","683678"
"gauteng","Johnson & Johnson","1563726"
"gauteng","Pfizer","3944152"
"kwazulu-natal","Johnson & Johnson","1255101"
"kwazulu-natal","Pfizer","2007310"
"limpopo","Johnson & Johnson","1087645"
"limpopo","Pfizer","1058149"
"mpumalanga","Johnson & Johnson","836895"
"mpumalanga","Pfizer","583916"
"northern cape","Johnson & Johnson","217349"
"northern cape","Pfizer","229317"
"north west","Johnson & Johnson","717130"
"north west","Pfizer","629891"
"western cape","Johnson & Johnson","756157"
"western cape","Pfizer","2133878"
