"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","908241"
"eastern cape","Pfizer","1321654"
"free state","Johnson & Johnson","482906"
"free state","Pfizer","665526"
"gauteng","Johnson & Johnson","1521322"
"gauteng","Pfizer","3873179"
"kwazulu-natal","Johnson & Johnson","1222524"
"kwazulu-natal","Pfizer","1950676"
"limpopo","Johnson & Johnson","1071092"
"limpopo","Pfizer","1029741"
"mpumalanga","Johnson & Johnson","809486"
"mpumalanga","Pfizer","562351"
"northern cape","Johnson & Johnson","212739"
"northern cape","Pfizer","222177"
"north west","Johnson & Johnson","708255"
"north west","Pfizer","615224"
"western cape","Johnson & Johnson","743831"
"western cape","Pfizer","2107246"
