"province","age_group","sex","individuals_vaccinated","individuals_fully_vaccinated","population"
"EASTERN CAPE","12-17","Female","154364","53774","416942"
"EASTERN CAPE","12-17","Male","126020","37847","429096"
"FREE STATE","12-17","Female","93266","43188","161705"
"FREE STATE","12-17","Male","79311","32353","162847"
"GAUTENG","12-17","Female","216490","93189","649047"
"GAUTENG","12-17","Male","177600","71672","648920"
"KWAZULU-NATAL","12-17","Female","170072","69848","647510"
"KWAZULU-NATAL","12-17","Male","119445","44773","658202"
"LIMPOPO","12-17","Female","149558","49708","352420"
"LIMPOPO","12-17","Male","127110","36939","372427"
"MPUMALANGA","12-17","Female","78684","25765","257710"
"MPUMALANGA","12-17","Male","65547","18446","259479"
"NORTHERN CAPE","12-17","Female","18678","6245","69852"
"NORTHERN CAPE","12-17","Male","14963","4667","69047"
"NORTH WEST","12-17","Female","84395","29725","221385"
"NORTH WEST","12-17","Male","70123","21602","223092"
"WESTERN CAPE","12-17","Female","70781","27841","320269"
"WESTERN CAPE","12-17","Male","60452","23271","322848"
