"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","922218"
"eastern cape","Pfizer","1359968"
"free state","Johnson & Johnson","488972"
"free state","Pfizer","683792"
"gauteng","Johnson & Johnson","1564063"
"gauteng","Pfizer","3944593"
"kwazulu-natal","Johnson & Johnson","1255270"
"kwazulu-natal","Pfizer","2007630"
"limpopo","Johnson & Johnson","1087861"
"limpopo","Pfizer","1058402"
"mpumalanga","Johnson & Johnson","837082"
"mpumalanga","Pfizer","584122"
"northern cape","Johnson & Johnson","217401"
"northern cape","Pfizer","229374"
"north west","Johnson & Johnson","717284"
"north west","Pfizer","629983"
"western cape","Johnson & Johnson","756261"
"western cape","Pfizer","2134026"
